Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
4634755634,HEZ3837,NY,PAS,05/31/2017,36,4DSD,ME/BE,V,0,0,0,0,,0,0,0,,,0836A,,QN,,,NB MAIN ST @ REEVES,AVE,0,1180,B,T,,,,WH,,2014,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8483877818,ZDT2033,PA,PAS,04/20/2017,47,DELV,ISUZU,T,10110,17430,17450,20170088,13,13,13,363947,T102,I,0215P,,NY,O,389,2nd Ave,,0,408,l2,,Y,0700A,0700P,WHITE,,0,,0,A,47-Double PKG-Midtown,,,
7659826323,KSMRNTUC,NY,SRF,01/21/2017,37,4DSD,FORD,T,10210,18770,18790,20170611,19,19,19,364881,T103,R,0641P,0620P,NY,F,1592,3rd Ave,,0,408,h1,,Y,0800A,0700P,BL,,2012,120-8033,0,9,37-Expired Muni Meter,,,
8485236130,V10HHG,NJ,PAS,06/16/2017,38,4DSD,TOYOT,T,10910,34690,34710,88880088,18,18,18,359592,T102,A,1042P,,NY,F,672,9th Ave,,0,408,h1,,Y,0700P,1100P,SILVE,,0,,0,E,38-Failure to Display Muni Rec,,,
8517065839,HGR7170,NY,PAS,05-12-2017,46,SUBN,JEEP,T,36070,0,0,20170726,28,28,28,346193,T103,AA,0913A,,NY,I,N,W 115th St,150ft W/of 5th Ave,0,408,f1,,YYYYYYY,,,GY,,2006,,0,D,46A-Double Parking (Non-COM),,,
8421018504,AM724V,NJ,PAS,09-06-2016,14,DELV,FRUEH,T,36030,26590,11710,88888888,26,26,26,347489,T103,B,0710A,,NY,O,400,W 113th St,,0,408,c,,YYYYYYY,,,WHITE,,0,,0,CC8,14-No Standing,,,
7020714160,187TJ5,MA,PAS,01/19/2017,21,2DSD,AUDI,T,0,0,0,20180588,83,83,83,363466,T301,H,1132A,,K,I,N,Dekalb Ave,120ft E/of Wyckoff A,0,408,d1,,Y  Y,1100A,1230A,OTHER,,0,,0,11,21-No Parking (street clean),,,
7427455897,T664076C,NY,OMT,08/16/2016,40,4DSD,TOYOT,T,26430,50320,31120,88888888,42,42,42,355684,T801,B,0823P,,BX,O,412,E 159th St,,0,408,e2,,YYYYYYY,,,TAN,,0,,5,A 21,40-Fire Hydrant,,,
8111031890,XEGL27,NJ,PAS,11/17/2016,51,DELV,FRUEH,T,34710,0,0,20160088,18,18,18,363132,T106,GP,0157P,,NY,I,S,W 47th St,60ft E/of 7th Ave,0,408,e3,,,,,WHITE,,0,,0,104,51-Sidewalk,,,
8533365240,KHC4231,PA,PAS,04-07-2017,46,4DSD,CADIL,T,59530,83330,55530,20170088,81,81,81,351966,T301,L,0955A,,K,O,234,MacDonough St,,0,408,f1,,YYYYYYY,,,RED,,0,,0,K,46A-Double Parking (Non-COM),,,
8564954023,55307PC,NY,IRP,05/31/2017,14,UTIL,FRUEH,T,14690,0,0,20180531,104,104,104,361883,T402,E,0127P,,Q,I,S,69th St,10ft W/of Eliot Ave,0,408,c,,YYYYYYY,,,WH,,2007,,0,3,14-No Standing,,,
8490425115,C41BZK,NJ,PAS,04-04-2017,21,4DSD,TOYOT,T,73690,26430,13880,88888888,67,67,67,345534,T302,Y,0845A,,K,F,1137,Rogers Ave,,0,408,d1,,Y  Y,0800A,0930A,TAN,,0,,0,L,21-No Parking (street clean),,,
8058542787,HHC2531,NY,PAS,12/14/2016,24,4DSD,ME/BE,T,36630,10410,24690,20180612,32,32,32,340095,T800,A2,0935P,,NY,F,58,W 143rd St,,0,408,d5,,YYYYYYY,,,BK,,0,,0,B 77,24-No Parking (exc auth veh),,,
4633847594,GER1497,NY,PAS,05/15/2017,36,SUBN,CADIL,V,0,0,0,0,,0,0,0,,,1035A,,BK,,,EB EASTERN PKWY @ WA,SHINGTON AVE,0,1180,B,T,,,,BL,,2016,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
7163958146,93478MB,NY,COM,12/14/2016,38,DELV,FRUEH,T,39800,27200,23100,88888888,122,122,122,362621,T303,E,0305P,,R,F,267,New Dorp Ln,,0,408,h1,,Y,0900A,0500P,BROWN,,2012,,0,05-P,38-Failure to Display Muni Rec,,,
4626504711,FGN3259,NY,PAS,11-07-2016,36,SUBN,JEEP,V,0,0,0,0,,0,0,0,,,1122A,,BK,,,NB RALPH AVE @ BEVER,LEY RD,0,1180,B,T,,,,BL,,2014,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8293534011,HHX4559,NY,OMS,08-02-2016,46,4DSD,HYUND,T,30930,64830,23330,20170930,67,67,67,357808,T302,Q,0131P,,K,F,379,Crown St,,0,408,f1,,,,,RD,,2017,,0,C 32,46A-Double Parking (Non-COM),,,
8485039294,HKJ8844,NY,PAS,06/16/2017,14,SUBN,ACURA,T,34150,0,0,20180920,13,13,13,331220,T102,A,1113P,,NY,I,S,W 19th St,60ft E/of 6th Ave,0,408,c,,YYYYYYY,1100P,0600A,BL,,2006,,0,C,14-No Standing,,,
8197558176,31234JV,NY,COM,11/22/2016,38,DELV,HINO,T,7790,57490,9640,20170430,114,114,114,357738,T401,C,1037A,,Q,F,40-11,30th Ave,,0,408,h1,,Y,0830A,0700P,WH,,2006,,0,30 4,38-Failure to Display Muni Rec,,,
8523152696,HJV3416,NY,PAS,03-07-2017,71,SUBN,FORD,T,20920,73420,35720,20190128,43,43,43,362174,T201,E,1249P,,BX,F,1143,Commonwealth Ave,,0,408,j6,,YYYYYYY,,,BK,,2003,,0,12,71A-Insp Sticker Expired (NYS),,,
8520986160,XCZL72,NJ,PAS,06/20/2017,69,VAN,FORD,T,34970,13610,15710,20170088,20,20,20,362545,T103,L,0237P,,NY,F,30,W 60th St,,0,408,h1,,YYYYY,0800A,0600P,WHITE,,0,,0,J,69-Failure to Disp Muni Recpt,,,
8434011189,64533JW,NY,COM,10/18/2016,40,VAN,FORD,T,10110,18820,18830,20161130,19,19,19,343920,T103,B,0527A,,NY,O,1772,2nd Ave,,0,408,e2,,YYYYYYY,,,WH,,2006,,0,C 77,40-Fire Hydrant,,,
8266580250,ENB4952,NY,PAS,02-01-2017,38,SUBN,CHRYS,T,13610,35630,35650,20181109,24,24,24,361343,T103,M,0913P,,NY,F,2518,Broadway,,0,408,h1,,Y,0800A,1000P,BLUE,,2006,,0,H,38-Failure to Display Muni Rec,,,
8034240497,EGW4614,NY,PAS,07/20/2016,38,SUBN,NISSA,T,42820,29220,27360,20180309,46,46,46,361339,T201,J,0455P,,BX,O,2493,Jerome Ave,,0,408,h1,,Y,0800A,0700P,BK,,2015,,0,39 2,38-Failure to Display Muni Rec,,,
4635437190,GYB3197,NY,PAS,06/22/2017,36,4DSD,INFIN,V,0,0,0,0,,0,0,0,,,1228P,,QN,,,EB ROCKAWAY BLVD @ 1,00TH ST,0,1180,B,T,,,,WH,,2015,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8091522538,HJP2891,NY,PAS,03/31/2017,21,CONV,FORD,T,8990,8540,8640,20170425,114,114,114,364017,T401,D,1157A,,Q,F,34-01,38th Ave,,0,408,d1,,Y  Y,1130A,0100P,GY,,2013,,0,30,21-No Parking (street clean),,,
8045690525,HJP8875,NY,PAS,09-07-2016,61,4DSD,TOYOT,T,18540,68090,18840,20180905,102,102,102,355201,T803,AA,1046P,,Q,O,93-18,93rd Ave,,0,408,m1,,,,,BL,,2006,,0,A 42,61-Wrong Way,,,
1420174393,DMB5544,MI,PAS,04/17/2017,40,SUBN,JEEP,P,36610,22190,13610,20180401,30,30,30,962617,30,0,0550A,,NY,F,529,W 142 ST,,0,408,D,,BBBBBBB,ALL,ALL,BLK,0,2016,-,2,,,,,
8154043038,HHU5583,NY,PAS,10/13/2016,68,SUBN,DODGE,T,70430,49630,48830,20180608,84,84,84,355074,T301,A,1044A,,K,O,62,Pierrepont St,,0,408,a1,,,,,BK,,2016,,0,01 3,68-Not Pkg. Comp. w Psted Sign,,,
8494755456,XBYG69,NJ,PAS,01-04-2017,78,DELV,ISUZU,T,72020,28800,28830,88880088,47,47,47,355556,T801,B,0916P,,BX,F,4379,Vireo Ave,,0,408,k6,,YYYYYYY,0900P,0500A,GREEN,,0,,0,F 21,78-Nighttime PKG on Res Street,,,
8035147304,HGR8742,NY,PAS,09-06-2016,21,SUBN,CHRYS,T,0,0,0,20180413,43,43,43,358137,T202,K,1243P,,BX,I,E,Soundview Ave,10ft N/of Watson Ave,0,408,d1,,Y  Y,1130A,0100P,TN,,2002,,0,17 2,21-No Parking (street clean),,,
1412114950,MCA0036,MD,PAS,10-08-2016,21,,INFIN,S,34050,10810,10910,0,6,6,0,535036,MN02,0,0846A,,,O,343,WEST 14TH ST,,0,408,D1,,YYYYYYB,0830A,0900A,GRAY,0,0,-,0,,,,,
8283048442,PN6B5W,MO,PAS,11-03-2016,19,SUBN,LINCO,T,18520,59220,35720,20170888,43,43,43,361107,T202,N,1115A,,BX,F,1179,Castle Hill Ave,,0,408,c3,,YYYYYYY,,,WHITE,,0,,0,22 2,19-No Stand (bus stop),,,
1412091640,GYP9103,NY,PAS,09/16/2016,21,P-U,DODGE,S,10210,19350,19370,20170603,23,23,0,540131,MN11,0,0813A,,NY,F,2205,3 AVENUE,,0,408,D1,,YYYYYYB,0800A,0830A,WHITE,0,2015,-,0,,,,,
8481259883,T691011C,NY,OMT,02/16/2017,9,4DSD,HYUND,T,10210,17730,0,20180131,17,17,17,364923,T102,B,0928A,,NY,X,,3rd Ave,E 37th St,0,408,e1,,YYYYYYY,,,BK,,2016,,0,99,09-Blocking the Box,,,
8485000122,S67EZG,NJ,PAS,11/18/2016,31,SUBN,HONDA,T,13610,34310,34330,88880088,13,13,13,331220,T102,A,0342P,1200P,NY,F,1171,Broadway,,0,408,l3,,YYYYY,0700A,0600P,GREY,,0,,0,99 6,31-No Stand (Com. Mtr. Zone),,,
8527308990,G554DT,NY,PAS,03/23/2017,70,PICK,FORD,T,0,0,0,20161230,41,41,41,358910,T201,R,0307P,,BX,I,W,Faile St,50ft N/of Viele Ave,0,408,j3,,YYYYYYY,,,BK,,2014,,0,P,70A-Reg. Sticker Expired (NYS),,,
7884234725,75472MC,NY,COM,08/17/2016,47,VAN,MITSU,T,17270,10410,32633,20161231,13,13,13,363049,T102,M,0122P,,NY,F,12,E 14th St,,0,408,l2,,Y,0700A,0700P,WH,,2012,,0,99 6,47-Double PKG-Midtown,,,
8529170660,HJW1306,NY,PAS,06/17/2017,38,SUBN,NISSA,T,16420,58420,30120,20190223,45,45,45,363044,T201,B,0844A,,BX,O,2889,Buhre Ave,,0,408,h1,,Y,0830A,0700P,GY,,2012,,0,Z,38-Failure to Display Muni Rec,,,
8525320055,736EJ6,MA,PAS,05/19/2017,21,SUBN,KIA,T,69720,26400,26460,88880688,40,40,40,361099,T201,B,0835A,,BX,F,820C,Trinity Ave,,0,408,d1,,Y  Y,0800A,0930A,SILVE,,0,,0,22,21-No Parking (street clean),,,
8521616776,T659242C,NY,OMT,05-08-2017,20,4DSD,TOYOT,T,0,0,0,20170930,28,28,28,356959,T103,M,0234P,,NY,O,315,W 121st St,,0,408,d,,YYYYY,0700A,0600P,BK,,2014,,0,G,20A-No Parking (Non-COM),,,
8509673860,4257A,MA,APP,05/21/2017,14,BUS,NS/OT,T,30640,29987,15510,20170688,7,7,7,358583,T101,N,1120A,,NY,F,265,South St,,0,408,c,,YYYYYYY,,,WHITE,,0,,0,95,14-No Standing,,,
8557954864,AD20931,CT,CMB,05-11-2017,37,SUBN,ME/BE,T,0,0,0,88880088,115,115,115,347619,T401,H,0123P,0110P,Q,I,N,Roosevelt Ave,100ft W/of 72nd St,20170511,408,h1,,Y,0900A,0700P,WHITE,,0,412-2352,0,23-P,37-Expired Muni Meter,,,
4626338707,FYT9011,NY,PAS,11-03-2016,36,SUBN,AUDI,V,0,0,0,0,,0,0,0,,,1025A,,BK,,,NB KNAPP ST @ ALLEN,AVE,0,1180,B,T,,,,WH,,2012,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4628854774,GMK4388,NY,PAS,12/22/2016,36,4DSD,BMW,V,0,0,0,0,,0,0,0,,,0253P,,QN,,,NB FRANCIS LWS BV. C,ANEY LN- 245 ST,0,1180,B,T,,,,BK,,2014,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8517907279,AS747T,NJ,PAS,03/18/2017,84,DELV,FRUEH,T,10010,18310,18330,88880088,19,19,19,363047,T103,P,1130A,,NY,F,1229,1st Ave,,0,408,k7,,YYYYYYY,,,WHITE,,0,,0,C,84-Platform lifts in low posit,,,
5093429077,HHF9280,NY,PAS,09-09-2016,7,4DSD,OLDSM,V,0,0,0,0,,0,0,0,,,0102P,,QN,,,NORTHERN BLVD (E/B),@ MARATHON PKWY,0,1111,D,T,,,,BK,,0,,0,,FAILURE TO STOP AT RED LIGHT,,,
7804331824,HAA9734,NY,PAS,09/21/2016,37,SUBN,FORD,T,36130,40230,40930,20170714,70,70,70,363919,T302,R,0431P,0423P,K,O,683,E 29th St,,0,408,h1,,Y,0800A,0700P,BK,,2016,304-3064,0,08 3,37-Expired Muni Meter,,,
1411613685,PG007G,FL,PAS,08/24/2016,20,P-U,FORD,P,33730,77730,51030,0,76,76,76,952287,76,0,0440A,,K,F,91,DOUGLASS ST,,0,408,F1,,BBBBBBB,ALL,ALL,BK,0,0,-,0,,,,,
4633048351,80950JF,NY,COM,04/27/2017,36,VAN,CHEVR,V,0,0,0,0,,0,0,0,,,0931A,,QN,,,WB QUEENS BLVD @ 36T,H ST,0,1180,B,T,,,,WH,,2015,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8479588056,XL148F,NJ,PAS,05-11-2017,82,PICK,FORD,T,0,0,0,20170088,14,14,14,350408,T106,M,0709A,,NY,O,7,W 36th St,,0,408,k1,,YYYYYYY,,,GREEN,,0,,0,35,82-Unaltered Commerc Vehicle,,,
8522806111,SJLJR,NY,SPO,06/15/2017,74,PICK,FORD,T,63820,12550,76650,20180412,52,52,52,361324,T201,X,1243P,,BX,F,2300,Sedgwick Ave,,0,408,j2,,YYYYYYY,,,BL,,2017,,0,26,74-Missing Display Plate,,,
8487427303,GYV3125,NY,PAS,02/28/2017,37,SUBN,JEEP,T,9640,57490,7990,20170524,114,114,114,361875,T401,R,0530P,0428P,Q,F,30-95,41st St,,0,408,h1,,Y,0900A,0700P,GY,,2015,407-2238,0,29,37-Expired Muni Meter,,,
7873331880,T233713,IL,PAS,09-07-2016,14,TRLR,NS/OT,T,34670,11110,11112,88880088,18,18,18,349475,T502,J,0621A,,NY,O,642,W 45th St,,0,408,c,,YYYYYYY,,,GREY,,0,,0,03 6,14-No Standing,,,
8394031687,AG61612,AZ,PAS,10/22/2016,78,VAN,GMC,T,14230,36430,36480,20160088,63,63,63,356963,Broo,A,0147A,,K,F,3613,Avenue M,,0,408,k6,,YYYYYYY,0900P,0500A,WHITE,,0,,0,A 31,78-Nighttime PKG on Res Street,,,
8462008554,BRU8985,NY,PAS,10/19/2016,70,SUBN,DODGE,T,18090,17490,51090,20161015,102,102,102,363025,T402,B,0800A,,Q,F,86-17,89th St,,0,408,j3,,YYYYYYY,,,WH,,2004,,0,32 4,70A-Reg. Sticker Expired (NYS),,,
8539067699,GSL3258,NY,PAS,05/19/2017,21,4DSD,HONDA,T,31530,79430,79330,20180720,88,88,88,358226,T301,C,1013A,,K,F,150,Dekalb Ave,,0,408,d1,,Y,0930A,1100A,PR,,2009,,0,6,21-No Parking (street clean),,,
1419139381,GRZ8402,NY,PAS,03/20/2017,21,SDN,SUBAR,S,0,40404,40404,20180803,83,83,0,981214,KN04,0,0856A,,K,F,85,VANDERVEER,,0,408,D1,,YBBYBBB,0800A,0930A,BROWN,0,2004,-,0,,,,,
5094755523,W98HFL,NJ,PAS,12/18/2016,7,WAGO,CADIL,V,0,0,0,0,,0,0,0,,,0442P,,ST,,,NARROWS RD (W/B) @ C,LOVE RD,0,1111,D,T,,,,WHT,,0,,0,,FAILURE TO STOP AT RED LIGHT,,,
4633620496,AU7982,NY,PSD,05-09-2017,36,4DSD,TOYOT,V,0,0,0,0,,0,0,0,,,0737A,,BX,,,SB BOSTON RD E174 ST,#NAME?,0,1180,B,T,,,,WH,,2010,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8199518704,T685427C,NY,OMT,09-07-2016,38,SUBN,FORD,T,59990,49860,11840,20170630,110,110,110,359624,T401,A,1004A,,Q,F,89-21,Queens Blvd,,0,408,h1,,Y,0800A,0700P,BK,,2014,,0,45-A,38-Failure to Display Muni Rec,,,
4633380540,HLK6622,NY,PAS,05-03-2017,36,SUBN,JEEP,V,10210,40404,40404,0,,0,0,0,,,1228P,,BK,,,SB 3RD AVE @ 51ST ST,,0,1180,B,T,,,,GY,,2006,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4628721981,HJP8313,NY,PAS,12/22/2016,36,SUBN,CHEVR,V,0,0,0,0,,0,0,0,,,1134A,,QN,,,SB SPRINGFIELD BLVD,@ 143RD AVE,0,1180,B,T,,,,LTGY,,2004,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8105524892,HAM3987,NY,PAS,02/21/2017,21,SUBN,NISSA,T,64110,40404,40404,20171117,104,104,104,355054,T402,L,1126A,,Q,F,326,Starr St,,0,408,d1,,Y,1100A,1230A,GY,,2004,,0,C,21-No Parking (street clean),,,
8525304876,FPJ1282,NY,PAS,03-10-2017,14,SUBN,ME/BE,T,0,0,0,20170803,46,46,46,361099,T201,B,0909A,,BX,I,E,Matthewson Rd,70ft S/of W Tremont,0,408,c,,YYYYYYY,,,GY,,2006,,0,22,14-No Standing,,,
1419642730,PT2561T,PA,PAS,03-12-2017,66,TRAI,,S,0,0,0,0,75,75,0,0,0PIU,0,1212P,,K,,,E/S RUBY STREET,N/O DUMONT AVE,0,408,N8,,BBBBBBB,ALL,ALL,GREY,0,0,-,0,,,,,
4632856253,GMG9884,NY,PAS,04/21/2017,36,SUBN,FORD,V,0,0,0,0,,0,0,0,,,0139P,,QN,,,SB UTOPIA PKWY @ 56T,H AVE,0,1180,B,T,,,,WH,,2013,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8412501329,HXX5586,PA,PAS,08-05-2016,31,4DSD,BMW,T,34530,10610,10810,20170288,14,14,14,362241,T106,J,1255P,,NY,F,257,W 38th St,,0,408,l3,,YYYYY,0600A,0700P,GREY,,0,,0,110,31-No Stand (Com. Mtr. Zone),,,
1415787608,12817KA,NY,COM,10-03-2016,46,DELV,FORD,P,25390,18370,18390,0,19,19,19,932402,19,0,1136A,,NY,O,837,MADISON AVE,,0,408,F1,,BBBBBBB,ALL,ALL,WH,0,2009,-,0,,,,,
8207013485,FMP3696,NY,PAS,10/13/2016,38,SUBN,CHRYS,T,61090,19740,20190,20170817,110,110,110,363458,T401,R,1153A,,Q,F,104-76,Roosevelt Ave,,0,408,h1,,Y,0900A,0700P,BL,,2004,,0,17 4,38-Failure to Display Muni Rec,,,
8493357558,30933JY,NY,COM,01-12-2017,38,VAN,FORD,T,45590,18670,18690,20170331,19,19,19,358662,T103,D,0841A,,NY,F,1605,York Ave,,0,408,h1,,Y,0830A,0700P,WH,,2009,,0,53,38-Failure to Display Muni Rec,,,
1415455302,4ZLW60,MA,PAS,08/22/2016,46,SDN,SATUR,P,62330,23330,54070,0,71,71,71,925371,71,0,1238P,,K,F,602,MONTGOMERY ST,,0,408,F1,,BBBBBBB,ALL,ALL,BN,0,0,-,0,,,,,
8121531718,CZN4270,NY,PAS,03/17/2017,38,4DSD,TOYOT,T,15840,0,0,20180816,107,107,107,356226,T402,G,0520P,,Q,I,S,76th Ave,20ft E/of Main St,0,408,h1,,YYYYY,0800A,0700P,BL,,2005,,0,42,38-Failure to Display Muni Rec,,,
8514751979,4WK714,MA,PAS,03/26/2017,40,4DSD,FORD,T,36630,15910,11710,20180488,32,32,32,356191,T103,X,0826A,,NY,F,477,W 143rd St,,0,408,e2,,YYYYYYY,,,GREY,,0,,0,1,40-Fire Hydrant,,,
